CancerType,Duration,Race,Sex,Age,Percentage,Count
Female Breast,13-year Limited Duration,White,Female,0-19,0.0001,26
Female Breast,13-year Limited Duration,White,Female,20-29,0.013,2134
Female Breast,13-year Limited Duration,White,Female,30-39,0.1806,28293
Female Breast,13-year Limited Duration,White,Female,40-49,0.95,152017
Female Breast,13-year Limited Duration,White,Female,50-59,2.2083,398082
Female Breast,13-year Limited Duration,White,Female,60-69,3.516,524732
Female Breast,13-year Limited Duration,White,Female,70-79,4.9372,440704
Female Breast,13-year Limited Duration,White,Female,80+,4.8595,315863
Female Breast,13-year Limited Duration,Black,Female,0-19,0.0002,16
Female Breast,13-year Limited Duration,Black,Female,20-29,0.0185,672
Female Breast,13-year Limited Duration,Black,Female,30-39,0.2043,6354
Female Breast,13-year Limited Duration,Black,Female,40-49,0.9071,26947
Female Breast,13-year Limited Duration,Black,Female,50-59,1.9608,58427
Female Breast,13-year Limited Duration,Black,Female,60-69,2.993,61773
Female Breast,13-year Limited Duration,Black,Female,70-79,3.8934,41088
Female Breast,13-year Limited Duration,Black,Female,80+,3.6823,23660
Female Breast,13-year Limited Duration,Other,Female,0-19,0.0001,2
Female Breast,13-year Limited Duration,Other,Female,20-29,0.0114,219
Female Breast,13-year Limited Duration,Other,Female,30-39,0.1429,2895
Female Breast,13-year Limited Duration,Other,Female,40-49,0.7344,13324
Female Breast,13-year Limited Duration,Other,Female,50-59,1.6287,24950
Female Breast,13-year Limited Duration,Other,Female,60-69,2.2568,24808
Female Breast,13-year Limited Duration,Other,Female,70-79,2.8122,15688
Female Breast,13-year Limited Duration,Other,Female,80+,2.4614,7910
